date,location,rainfall_mm,temperature_c,humidity_pct,wind_speed_kmh,pressure_hpa,rain_category,month,season
2020-10-17,Hanoi,75.2,35.6,81.0,11.7,1013.4,Heavy,10,autumn
2020-10-25,Hcmc,178.04,19.3,79.3,11.5,999.0,Heavy,10,autumn
2020-10-29,Can Tho,15.11,30.8,99.6,28.4,1013.4,Light,10,autumn
2020-11-12,Danang,154.74,34.7,65.7,31.6,1014.3,Heavy,11,autumn
2020-12-05,Hanoi,151.9,26.3,74.7,17.0,1004.6,Heavy,12,winter
2020-12-05,Hcmc,113.44,29.5,81.1,24.3,1014.6,Heavy,12,winter
2021-01-01,Hcmc,158.75,32.9,68.6,32.3,1008.7,Heavy,1,winter
2021-01-08,Danang,0.64,33.1,47.2,28.2,1008.5,Light,1,winter
2021-01-09,Can Tho,9.31,36.1,65.9,26.2,1003.6,Light,1,winter
2021-01-11,Hanoi,55.81,27.9,49.7,15.7,1019.7,Heavy,1,winter
2021-01-14,Danang,52.83,27.1,94.4,35.5,994.2,Heavy,1,winter
2021-02-08,Hue,50.43,28.8,47.0,16.2,993.2,Heavy,2,winter
2021-02-12,Hanoi,164.99,33.9,97.9,1.1,1007.7,Heavy,2,winter
2021-02-19,Hue,174.55,30.7,97.8,18.9,998.1,Heavy,2,winter
2020-01-12,Hanoi,129.35,18.3,86.2,18.6,1008.7,Heavy,1,winter
2020-01-14,Danang,22.55,20.1,48.6,20.0,1007.5,Moderate,1,winter
2020-01-14,Hue,190.06,20.0,53.3,14.8,991.8,Heavy,1,winter
2020-01-16,Hanoi,156.51,32.3,76.0,10.4,1010.6,Heavy,1,winter
2020-01-18,Hcmc,68.86,36.5,72.4,31.0,1019.9,Heavy,1,winter
2020-01-26,Hue,160.84,25.9,82.4,4.3,1001.1,Heavy,1,winter
2020-02-04,Hue,36.12,21.3,54.4,4.3,1002.2,Moderate,2,winter
2020-02-19,Hue,153.93,33.7,49.6,15.2,997.9,Heavy,2,winter
2020-02-25,Can Tho,75.1,19.9,48.8,36.3,1012.7,Heavy,2,winter
2020-02-26,Hue,92.3,23.3,75.4,0.5,1013.3,Heavy,2,winter
2020-02-28,Danang,2.32,20.0,75.1,36.5,1006.4,Light,2,winter
2020-03-04,Hanoi,101.32,34.6,54.4,36.9,1012.2,Heavy,3,spring
2020-03-09,Danang,130.52,33.3,80.5,37.0,1002.0,Heavy,3,spring
2020-03-27,Can Tho,55.27,18.6,97.1,35.8,1006.9,Heavy,3,spring
2020-04-07,Hue,79.19,20.4,76.4,25.2,1019.5,Heavy,4,spring
2020-04-11,Hcmc,20.96,36.9,65.8,5.0,1011.8,Moderate,4,spring
2020-04-15,Hcmc,31.6,32.3,61.5,22.0,1002.8,Moderate,4,spring
2020-05-12,Hcmc,25.48,26.6,83.0,18.4,1004.0,Moderate,5,spring
2020-05-19,Hue,32.21,34.4,51.6,3.3,1004.1,Moderate,5,spring
2020-05-23,Hanoi,195.07,19.7,59.1,21.3,1013.1,Heavy,5,spring
2020-05-25,Danang,39.83,35.2,83.3,4.3,995.4,Moderate,5,spring
2020-06-06,Hanoi,168.88,30.3,67.1,12.0,1004.5,Heavy,6,summer
2020-06-17,Can Tho,163.29,21.0,92.5,6.7,1017.5,Heavy,6,summer
2020-06-21,Hcmc,189.08,22.4,77.7,16.2,1013.5,Heavy,6,summer
2020-07-16,Can Tho,116.58,30.8,88.0,22.8,1008.3,Heavy,7,summer
2020-07-24,Hcmc,62.89,26.5,88.8,1.8,1001.3,Heavy,7,summer
2020-08-06,Hue,97.69,20.1,41.0,1.9,993.4,Heavy,8,summer
2020-08-08,Hcmc,60.98,23.3,86.8,38.1,1013.5,Heavy,8,summer
2020-08-23,Hue,56.86,33.9,58.6,14.8,1005.8,Heavy,8,summer
2020-08-24,Hue,96.25,22.0,65.5,2.3,1018.2,Heavy,8,summer
2020-08-24,Danang,0.62,34.3,59.2,7.3,992.8,Light,8,summer
2020-08-25,Can Tho,146.21,37.3,59.8,38.2,1003.7,Heavy,8,summer
2020-08-26,Hcmc,164.8,27.4,72.6,17.5,1018.0,Heavy,8,summer
2020-09-08,Hanoi,191.29,18.5,80.5,32.2,1009.6,Heavy,9,autumn
2020-09-12,Hue,168.01,26.2,60.4,2.0,1004.7,Heavy,9,autumn
2020-09-26,Hue,105.8,18.4,71.9,34.8,998.8,Heavy,9,autumn
2020-10-01,Hanoi,122.73,30.4,82.2,9.2,1014.1,Heavy,10,autumn
2020-10-14,Hcmc,55.42,36.8,55.4,28.9,993.2,Heavy,10,autumn
2020-10-15,Danang,89.21,26.1,76.1,5.8,1009.0,Heavy,10,autumn
2020-10-26,Can Tho,135.53,18.0,40.3,25.4,1017.6,Heavy,10,autumn
2020-11-14,Danang,60.22,20.5,83.6,33.3,1019.5,Heavy,11,autumn
2020-11-22,Hanoi,74.09,37.2,80.5,33.0,1003.5,Heavy,11,autumn
2020-11-24,Hcmc,138.51,37.7,70.4,27.3,1000.0,Heavy,11,autumn
2020-11-27,Hanoi,162.84,32.0,71.9,39.2,999.7,Heavy,11,autumn
2020-11-28,Hcmc,57.59,28.1,58.8,29.5,1005.0,Heavy,11,autumn
2020-12-04,Hcmc,134.34,33.8,69.9,0.9,1000.7,Heavy,12,winter
2020-12-05,Danang,89.86,30.3,71.7,36.0,1003.5,Heavy,12,winter
2020-12-09,Can Tho,109.22,28.0,81.8,36.5,998.1,Heavy,12,winter
2021-01-16,Hanoi,114.93,36.4,40.2,10.8,1016.1,Heavy,1,winter
2021-01-29,Hue,85.22,29.7,54.6,15.8,1006.2,Heavy,1,winter
2021-02-04,Hue,86.38,19.4,65.0,23.9,1006.0,Heavy,2,winter
2021-02-11,Can Tho,3.98,33.4,55.1,27.0,1017.0,Light,2,winter
2021-02-14,Hcmc,192.78,34.8,46.5,7.1,991.0,Heavy,2,winter
2020-01-05,Hcmc,113.83,28.9,92.4,12.9,1017.5,Heavy,1,winter
2020-01-18,Hue,104.71,34.7,52.9,11.2,1003.4,Heavy,1,winter
2020-01-19,Hanoi,190.29,26.5,65.9,11.2,1013.1,Heavy,1,winter
2020-01-28,Hue,18.38,34.7,99.1,25.0,998.4,Light,1,winter
2020-02-11,Hue,69.0,30.0,94.6,35.3,997.4,Heavy,2,winter
2020-02-27,Can Tho,37.34,28.1,43.3,3.4,1015.7,Moderate,2,winter
2020-02-29,Hue,45.88,30.6,54.2,22.7,1017.0,Moderate,2,winter
2020-03-05,Hanoi,174.71,34.3,72.8,27.4,1004.7,Heavy,3,spring
2020-03-16,Hcmc,96.16,23.6,90.2,17.6,995.4,Heavy,3,spring
2020-03-20,Hcmc,21.71,34.7,60.8,21.0,1013.3,Moderate,3,spring
2020-03-21,Danang,120.29,23.6,81.3,16.1,1019.2,Heavy,3,spring
2020-03-22,Danang,35.72,27.9,52.8,5.0,1016.4,Moderate,3,spring
2020-03-26,Hue,149.51,21.2,49.8,21.0,1017.0,Heavy,3,spring
2020-04-16,Can Tho,155.42,30.2,96.1,29.9,1000.6,Heavy,4,spring
2020-04-22,Hanoi,24.44,29.0,60.0,38.6,1015.7,Moderate,4,spring
2020-05-16,Hcmc,81.87,30.6,83.2,6.8,1006.7,Heavy,5,spring
2020-05-25,Hcmc,192.9,20.2,56.6,13.6,1008.0,Heavy,5,spring
2020-06-06,Can Tho,133.13,25.8,72.5,10.0,1000.0,Heavy,6,summer
2020-06-14,Danang,173.33,22.3,48.9,25.7,1009.2,Heavy,6,summer
2020-06-18,Hue,114.02,33.2,87.5,30.6,1002.9,Heavy,6,summer
2020-07-01,Hcmc,196.09,37.7,75.0,14.9,1003.3,Heavy,7,summer
2020-07-09,Hue,15.18,27.7,62.0,36.2,998.7,Light,7,summer
2020-07-13,Hue,40.53,19.9,73.4,21.1,991.9,Moderate,7,summer
2020-07-18,Can Tho,107.85,19.2,63.4,33.4,1010.8,Heavy,7,summer
2020-08-06,Can Tho,165.02,37.0,56.5,5.4,1002.8,Heavy,8,summer
2020-08-06,Danang,153.11,25.9,55.0,24.2,991.8,Heavy,8,summer
2020-09-17,Danang,88.93,22.9,81.8,6.7,990.8,Heavy,9,autumn
2020-10-02,Danang,129.42,30.4,55.9,3.6,1011.8,Heavy,10,autumn
2020-10-09,Hcmc,78.59,37.3,60.2,12.6,1017.7,Heavy,10,autumn
2020-10-18,Danang,145.03,37.3,97.6,33.7,995.2,Heavy,10,autumn
2020-10-23,Hue,152.9,26.6,60.8,6.3,990.3,Heavy,10,autumn
2020-10-24,Hcmc,195.91,24.9,95.3,4.9,990.1,Heavy,10,autumn
2020-11-28,Danang,38.56,28.2,41.8,0.1,990.3,Moderate,11,autumn
2020-12-07,Can Tho,129.84,34.1,87.9,16.1,991.2,Heavy,12,winter
2020-12-12,Hanoi,196.95,31.0,64.5,5.0,994.1,Heavy,12,winter
2020-12-14,Hcmc,70.89,25.8,62.7,2.7,1014.2,Heavy,12,winter
2021-01-02,Hanoi,69.06,26.5,95.1,19.1,1016.3,Heavy,1,winter
2021-01-10,Hue,17.34,22.2,43.6,37.9,1013.4,Light,1,winter
2021-02-03,Danang,6.23,33.4,63.7,9.7,995.5,Light,2,winter
2021-02-11,Can Tho,31.84,27.7,81.2,39.8,996.5,Moderate,2,winter
2021-02-19,Hcmc,162.53,24.9,63.3,15.2,997.7,Heavy,2,winter
2020-01-29,Hue,158.54,18.3,88.0,34.5,992.3,Heavy,1,winter
2020-02-01,Danang,159.0,25.0,69.2,32.9,1011.0,Heavy,2,winter
2020-02-22,Danang,197.22,30.7,56.0,27.7,1011.3,Heavy,2,winter
2020-02-28,Hue,14.19,25.3,64.6,32.1,1005.3,Light,2,winter
2020-03-20,Can Tho,140.38,21.8,73.4,20.2,998.6,Heavy,3,spring
2020-04-24,Hcmc,134.58,21.5,48.4,23.1,1019.3,Heavy,4,spring
2020-04-30,Can Tho,129.21,19.8,96.5,38.2,995.5,Heavy,4,spring
2020-06-01,Hcmc,135.83,26.3,69.8,15.8,1005.5,Heavy,6,summer
2020-06-02,Hue,183.14,26.3,41.9,2.6,1011.4,Heavy,6,summer
2020-06-12,Hcmc,146.18,31.6,94.7,0.2,993.0,Heavy,6,summer
2020-06-13,Hanoi,113.81,24.4,68.1,12.0,997.1,Heavy,6,summer
2020-07-02,Can Tho,3.07,29.2,74.7,17.2,1001.8,Light,7,summer
2020-07-12,Hcmc,189.61,21.0,64.4,19.4,992.8,Heavy,7,summer
2020-07-18,Danang,124.17,34.0,86.9,23.9,992.0,Heavy,7,summer
2020-07-18,Danang,148.83,29.6,58.7,28.4,1018.5,Heavy,7,summer
2020-07-25,Can Tho,8.64,21.4,46.4,15.3,1007.9,Light,7,summer
2020-07-30,Danang,146.71,37.8,68.9,17.1,1000.4,Heavy,7,summer
2020-08-02,Can Tho,120.63,37.1,40.1,30.8,1000.5,Heavy,8,summer
2020-08-08,Danang,38.35,19.7,63.3,17.0,1009.5,Moderate,8,summer
2020-08-13,Can Tho,148.09,20.5,81.5,15.8,994.3,Heavy,8,summer
2020-08-19,Can Tho,112.06,35.0,99.9,16.4,1017.2,Heavy,8,summer
2020-08-23,Hanoi,59.06,37.2,46.5,17.4,994.7,Heavy,8,summer
2020-09-05,Danang,30.67,29.0,50.3,25.2,1007.2,Moderate,9,autumn
2020-09-06,Danang,11.51,28.3,88.9,37.0,991.5,Light,9,autumn
2020-09-16,Hcmc,103.56,37.1,46.4,26.8,993.7,Heavy,9,autumn
2020-09-18,Can Tho,33.19,18.9,99.8,25.8,1001.7,Moderate,9,autumn
2020-09-24,Hue,131.79,26.8,73.4,33.0,997.7,Heavy,9,autumn
2020-10-04,Can Tho,176.92,23.5,89.3,22.0,997.9,Heavy,10,autumn
2020-10-19,Hue,35.01,36.9,76.4,28.5,1015.7,Moderate,10,autumn
2020-10-29,Hanoi,145.11,20.4,59.8,3.4,1015.1,Heavy,10,autumn
2020-10-31,Danang,57.79,36.7,97.1,21.9,1014.9,Heavy,10,autumn
2020-11-01,Hanoi,27.0,23.7,96.3,30.6,1019.5,Moderate,11,autumn
2020-11-02,Hanoi,0.41,26.2,58.7,32.4,1003.8,Light,11,autumn
2020-11-10,Hue,41.71,33.2,85.0,7.5,1011.2,Moderate,11,autumn
2020-12-01,Hanoi,198.86,28.9,69.7,7.6,998.2,Heavy,12,winter
2020-12-22,Danang,185.53,37.0,59.3,9.8,1005.0,Heavy,12,winter
2021-01-01,Hanoi,178.58,22.3,71.8,1.8,1010.6,Heavy,1,winter
2021-01-04,Hanoi,60.65,29.0,70.3,7.6,1019.6,Heavy,1,winter
2021-01-24,Hcmc,51.99,21.3,86.9,24.9,1015.0,Heavy,1,winter
2021-02-09,Hcmc,47.73,33.6,83.0,16.2,1000.2,Moderate,2,winter
2020-01-06,Hanoi,37.64,29.1,92.7,27.7,1011.0,Moderate,1,winter
2020-01-09,Hanoi,164.87,30.0,75.3,14.6,1002.6,Heavy,1,winter
2020-01-21,Hcmc,44.85,21.2,58.6,25.1,1007.1,Moderate,1,winter
2020-01-24,Hcmc,69.37,28.7,45.3,20.4,1003.2,Heavy,1,winter
2020-02-04,Danang,74.29,34.7,70.0,5.1,996.4,Heavy,2,winter
2020-02-13,Hanoi,73.49,19.9,75.4,24.2,1008.2,Heavy,2,winter
2020-02-16,Hanoi,193.27,37.7,75.1,27.5,1001.3,Heavy,2,winter
2020-03-15,Hanoi,142.91,32.4,92.7,0.6,993.4,Heavy,3,spring
2020-03-17,Hcmc,55.73,19.9,53.5,4.2,1014.6,Heavy,3,spring
2020-03-20,Can Tho,153.04,19.1,69.9,22.2,1017.2,Heavy,3,spring
2020-03-23,Danang,140.07,31.8,45.3,18.2,999.1,Heavy,3,spring
2020-03-27,Can Tho,186.01,29.7,77.5,26.8,1002.8,Heavy,3,spring
2020-03-27,Danang,145.35,26.7,73.2,9.2,995.3,Heavy,3,spring
2020-04-03,Hcmc,111.15,21.7,85.7,39.7,1011.1,Heavy,4,spring
2020-04-04,Hanoi,25.75,27.6,42.9,28.5,992.5,Moderate,4,spring
2020-04-08,Can Tho,75.85,19.1,83.1,8.3,992.3,Heavy,4,spring
2020-04-11,Hanoi,128.05,25.6,62.0,32.7,1009.7,Heavy,4,spring
2020-04-26,Can Tho,94.36,27.9,41.9,7.6,1012.7,Heavy,4,spring
2020-05-11,Hanoi,180.54,36.9,74.5,16.7,995.8,Heavy,5,spring
2020-05-12,Hcmc,107.28,21.0,98.7,6.4,1010.0,Heavy,5,spring
2020-05-15,Can Tho,33.45,28.2,55.3,22.2,998.5,Moderate,5,spring
2020-05-18,Hanoi,93.1,31.5,98.5,14.5,998.4,Heavy,5,spring
2020-05-19,Danang,86.42,24.8,95.4,20.7,1001.6,Heavy,5,spring
2020-06-28,Hanoi,177.67,19.0,92.8,7.6,1003.4,Heavy,6,summer
2020-06-28,Danang,155.12,28.3,84.0,9.7,993.3,Heavy,6,summer
2020-07-01,Can Tho,143.44,21.0,77.3,22.7,1004.3,Heavy,7,summer
2020-07-13,Danang,45.89,22.3,55.0,33.8,1004.8,Moderate,7,summer
2020-07-13,Hcmc,79.27,37.7,78.0,11.3,1003.6,Heavy,7,summer
2020-08-03,Can Tho,32.98,31.9,56.5,21.2,1006.3,Moderate,8,summer
2020-08-23,Hanoi,138.95,19.1,75.0,21.2,1000.1,Heavy,8,summer
2020-09-13,Hue,60.09,35.2,69.6,0.8,1017.4,Heavy,9,autumn
2020-09-14,Hanoi,179.09,32.0,64.8,10.3,1019.3,Heavy,9,autumn
2020-10-03,Hcmc,105.26,30.8,70.0,4.7,1011.1,Heavy,10,autumn
2020-10-07,Hanoi,89.76,36.0,68.4,25.1,1018.0,Heavy,10,autumn
2020-10-31,Hcmc,102.43,31.0,54.7,0.9,991.4,Heavy,10,autumn
2020-11-04,Hanoi,81.74,26.7,86.0,9.0,1007.6,Heavy,11,autumn
2020-11-16,Hue,39.49,25.1,63.9,5.2,1012.9,Moderate,11,autumn
2020-11-29,Hue,35.18,34.4,55.7,39.0,999.2,Moderate,11,autumn
2020-12-09,Danang,142.06,19.4,90.5,26.4,1006.3,Heavy,12,winter
2020-12-16,Danang,80.77,18.4,100.0,24.7,1010.3,Heavy,12,winter
2020-12-28,Hcmc,176.22,22.7,78.0,23.7,1008.0,Heavy,12,winter
2021-01-03,Hcmc,65.71,28.9,93.8,27.4,1003.8,Heavy,1,winter
2021-01-03,Hcmc,198.47,19.7,57.0,39.5,1011.7,Heavy,1,winter
2021-01-14,Can Tho,188.91,37.9,77.9,7.3,992.1,Heavy,1,winter
2021-01-23,Hanoi,190.46,37.5,73.3,1.0,1007.0,Heavy,1,winter
2021-01-23,Danang,170.15,23.2,91.2,21.0,1011.4,Heavy,1,winter
2021-01-31,Danang,70.21,28.2,88.1,37.9,1016.3,Heavy,1,winter
2020-01-01,Hue,11.36,25.2,72.5,7.2,1007.1,Light,1,winter
2020-01-22,Hanoi,164.27,29.1,42.0,2.3,1016.0,Heavy,1,winter
2020-01-30,Hcmc,40.24,35.0,99.9,14.0,992.8,Moderate,1,winter
2020-02-22,Danang,88.32,25.5,70.6,28.1,1004.3,Heavy,2,winter
2020-02-22,Danang,115.29,27.3,87.1,30.4,1010.1,Heavy,2,winter
2020-02-25,Hue,97.62,28.8,52.8,21.6,991.2,Heavy,2,winter
2020-02-28,Can Tho,117.33,34.2,87.8,27.9,1003.9,Heavy,2,winter
2020-03-04,Danang,82.97,34.9,50.3,3.2,999.0,Heavy,3,spring
2020-03-08,Hcmc,162.22,34.5,92.0,30.2,1017.2,Heavy,3,spring
2020-03-14,Danang,116.85,37.2,48.4,32.8,1014.1,Heavy,3,spring
2020-03-20,Hanoi,173.97,19.0,88.2,25.0,1011.9,Heavy,3,spring
2020-05-12,Can Tho,144.26,29.2,81.7,2.6,1019.1,Heavy,5,spring
2020-05-16,Can Tho,65.41,33.4,43.5,34.0,1007.7,Heavy,5,spring
2020-05-19,Hanoi,199.67,30.4,94.1,11.0,1010.7,Heavy,5,spring
2020-05-30,Hue,40.36,27.3,73.7,31.7,1013.8,Moderate,5,spring
2020-05-31,Hanoi,194.55,28.5,91.2,22.6,991.3,Heavy,5,spring
2020-06-10,Can Tho,113.1,29.8,76.5,17.8,1011.7,Heavy,6,summer
2020-06-24,Danang,105.32,34.9,74.1,17.8,995.0,Heavy,6,summer
2020-06-28,Danang,73.03,24.1,53.5,13.8,997.2,Heavy,6,summer
2020-07-02,Hcmc,81.13,35.0,73.8,19.8,1015.5,Heavy,7,summer
2020-07-06,Can Tho,144.18,33.1,42.8,19.0,1005.6,Heavy,7,summer
2020-07-11,Hanoi,0.08,20.8,46.6,38.1,995.2,None,7,summer
2020-07-17,Hcmc,143.39,27.1,57.7,23.0,1007.6,Heavy,7,summer
2020-07-26,Hcmc,114.25,18.2,70.4,2.1,1005.1,Heavy,7,summer
2020-07-27,Can Tho,54.38,20.0,42.7,37.0,1007.6,Heavy,7,summer
2020-07-31,Can Tho,21.1,24.4,88.1,27.2,995.1,Moderate,7,summer
2020-08-10,Hanoi,101.47,23.4,85.8,39.6,1001.0,Heavy,8,summer
2020-09-11,Hue,52.7,25.5,40.3,27.9,1014.7,Heavy,9,autumn
2020-10-04,Can Tho,135.84,30.3,71.4,1.4,1010.6,Heavy,10,autumn
2020-10-05,Danang,197.15,25.3,41.1,36.4,992.2,Heavy,10,autumn
2020-10-08,Danang,32.63,25.4,91.8,24.0,1001.1,Moderate,10,autumn
2020-10-13,Hcmc,19.52,26.6,82.2,36.1,1013.8,Light,10,autumn
2020-11-03,Hue,6.68,37.4,86.0,38.2,995.9,Light,11,autumn
2020-11-17,Hanoi,143.57,21.9,49.2,7.2,1005.4,Heavy,11,autumn
2020-12-06,Hcmc,123.41,24.6,80.2,23.3,1007.4,Heavy,12,winter
2020-12-13,Hue,21.75,22.7,94.3,35.4,1019.4,Moderate,12,winter
2020-12-25,Hue,172.49,22.8,64.3,34.6,1007.0,Heavy,12,winter
2021-01-02,Can Tho,64.78,22.5,56.8,10.3,1007.5,Heavy,1,winter
2021-01-23,Danang,68.02,28.9,95.1,1.0,1009.3,Heavy,1,winter
2020-01-08,Hcmc,121.12,25.3,54.9,37.1,1013.5,Heavy,1,winter
2020-01-17,Danang,54.3,34.1,79.5,18.3,1011.0,Heavy,1,winter
2020-02-04,Hanoi,112.0,21.2,59.7,11.3,1009.1,Heavy,2,winter
2020-02-07,Hue,53.3,24.1,71.6,32.9,1001.5,Heavy,2,winter
2020-02-16,Can Tho,158.77,36.4,94.8,35.9,997.7,Heavy,2,winter
2020-03-03,Hue,183.41,28.0,62.8,26.8,1008.7,Heavy,3,spring
2020-03-24,Hanoi,137.2,22.0,59.7,12.8,1003.1,Heavy,3,spring
2020-04-06,Hanoi,135.96,18.6,90.0,11.7,1016.6,Heavy,4,spring
2020-04-11,Hue,138.23,25.1,88.3,18.1,1003.0,Heavy,4,spring
2020-04-14,Can Tho,126.85,31.1,99.8,1.9,1002.0,Heavy,4,spring
2020-04-20,Hue,95.92,21.8,79.0,34.4,1017.5,Heavy,4,spring
2020-05-08,Hue,82.78,31.8,73.1,36.7,1012.3,Heavy,5,spring
2020-05-20,Hue,108.69,26.6,65.0,13.1,1014.4,Heavy,5,spring
2020-06-01,Hue,103.08,29.2,49.8,13.8,1017.2,Heavy,6,summer
2020-06-04,Danang,76.84,29.0,55.4,13.9,1006.8,Heavy,6,summer
2020-06-23,Hanoi,129.41,24.2,74.1,3.1,1003.5,Heavy,6,summer
2020-06-24,Hcmc,142.32,26.3,97.1,23.1,1016.8,Heavy,6,summer
2020-07-04,Danang,99.6,19.1,66.8,36.6,994.8,Heavy,7,summer
2020-07-06,Hanoi,135.83,24.4,49.9,11.6,1010.2,Heavy,7,summer
2020-07-09,Hanoi,37.93,35.0,43.9,8.9,991.9,Moderate,7,summer
2020-07-10,Hanoi,196.99,34.6,88.2,26.4,998.3,Heavy,7,summer
2020-07-30,Hcmc,23.7,29.2,49.5,5.9,1004.5,Moderate,7,summer
2020-08-01,Hcmc,124.15,34.9,58.1,33.3,999.2,Heavy,8,summer
2020-08-02,Hcmc,155.5,34.0,90.1,7.3,1011.9,Heavy,8,summer
2020-08-09,Hue,19.8,31.8,69.6,14.7,1000.5,Light,8,summer
2020-08-09,Can Tho,90.17,19.4,40.3,22.0,1002.3,Heavy,8,summer
2020-08-10,Hcmc,63.55,29.0,81.6,5.1,1019.9,Heavy,8,summer
2020-08-15,Can Tho,38.07,35.0,92.1,1.2,1007.8,Moderate,8,summer
2020-08-18,Hcmc,94.53,33.1,47.8,27.7,1010.2,Heavy,8,summer
2020-08-23,Danang,52.42,19.3,95.1,14.7,993.1,Heavy,8,summer
2020-08-23,Danang,175.1,25.2,85.7,39.0,1005.1,Heavy,8,summer
2020-08-27,Hanoi,191.68,19.0,45.1,7.6,1002.1,Heavy,8,summer
2020-09-03,Hanoi,81.3,35.7,62.5,21.4,1005.2,Heavy,9,autumn
2020-09-04,Hue,95.32,26.0,87.6,13.1,1017.9,Heavy,9,autumn
2020-09-09,Hanoi,83.1,24.2,85.0,27.3,1000.4,Heavy,9,autumn
2020-09-16,Hue,59.82,31.9,77.4,7.7,1019.5,Heavy,9,autumn
2020-09-18,Hanoi,29.05,27.9,71.4,38.6,1005.5,Moderate,9,autumn
2020-09-30,Can Tho,97.1,26.8,42.2,24.0,992.2,Heavy,9,autumn
2020-10-01,Hue,148.12,21.6,54.9,15.0,998.6,Heavy,10,autumn
2020-10-07,Hue,1.09,23.9,70.5,20.3,999.0,Light,10,autumn
2020-10-11,Danang,187.11,36.5,83.6,27.8,992.6,Heavy,10,autumn
2020-10-18,Danang,192.96,34.1,74.0,12.4,1001.1,Heavy,10,autumn
2020-10-18,Hcmc,66.03,27.1,40.3,36.3,1000.5,Heavy,10,autumn
2020-10-20,Danang,60.24,31.3,75.2,18.4,1014.4,Heavy,10,autumn
2020-11-08,Danang,92.1,37.9,81.0,11.6,1010.4,Heavy,11,autumn
2020-11-10,Hcmc,156.78,18.6,94.0,36.0,1006.9,Heavy,11,autumn
2020-11-12,Danang,40.48,35.1,44.4,8.0,1003.6,Moderate,11,autumn
2020-11-20,Hue,157.47,19.3,92.4,25.5,1009.4,Heavy,11,autumn
2020-11-30,Can Tho,195.96,30.7,55.5,19.2,1001.4,Heavy,11,autumn
2020-12-08,Hanoi,125.37,31.1,40.1,22.6,995.9,Heavy,12,winter
2020-12-21,Can Tho,66.49,30.8,70.2,33.5,1004.2,Heavy,12,winter
2020-12-23,Hanoi,192.01,24.3,50.0,16.6,990.6,Heavy,12,winter
2020-12-25,Can Tho,196.81,33.0,43.3,34.8,994.0,Heavy,12,winter
2021-01-03,Hue,78.21,36.2,77.9,3.0,1019.1,Heavy,1,winter
2021-01-03,Hue,142.68,32.8,85.0,1.8,1001.3,Heavy,1,winter
2021-01-04,Can Tho,161.75,23.7,84.9,3.1,1019.0,Heavy,1,winter
2021-01-05,Can Tho,49.44,22.3,88.0,15.1,993.7,Moderate,1,winter
2021-01-06,Can Tho,50.03,33.5,76.8,26.1,1016.9,Heavy,1,winter
2021-01-11,Hcmc,43.03,32.0,78.5,19.5,992.2,Moderate,1,winter
2021-01-21,Can Tho,47.72,25.2,96.3,35.8,999.0,Moderate,1,winter
